Date,Open,High,Low,Close,Volume,Market Cap,Positive Tweets,Negative Tweets
41547,137.15,138.35,130.27,133,39674078.96822931,1614350000,36,16
41548,132.68,134.63,131.55,132.18,39667704.27738222,1562270000,27,18
41549,132.05,133.59,102.25,114.13,39659493.14177357,1555470000,38,19
41550,114.45,123.63,111.82,123.63,39649585.46770403,1348700000,27,18
41551,123.41,130.09,123.41,129.01,39639178.48512029,1454900000,37,17
41552,128.63,130.44,128.03,128.55,39629748.97683864,1517020000,39,13
41553,128.36,129.66,126.15,129,39622507.22068516,1514540000,27,17
41554,129.43,130.27,126.36,126.94,39618329.70835209,1527760000,31,16
41555,126.74,127.47,124.71,126,39617571.99106618,1496500000,36,18
41556,125.85,131.75,125.58,130.69,39619689.32162219,1486510000,35,18
41557,130.67,131.5,129.26,130.59,39624571.11848263,1544020000,30,21
41558,130.75,131.81,129.64,130.9,39631952.19072312,1545600000,36,18
41559,130.9,135.66,130.56,135.19,39641765.85085011,1547970000,36,20
41560,135.19,138.66,134.55,138.13,39653188.8486182,1599430000,32,21
41561,139.27,144.12,138.9,140.52,39665689.8501408,1648470000,31,17
41562,140.77,145.39,139.13,145.24,39678508.94632458,1667100000,39,9
41563,145.65,152.23,142.43,142.55,39691560.72543265,1725840000,29,18
41564,142.41,147.42,142.41,146.25,39704126.24138875,1688200000,40,16
41565,146.37,155.96,145.57,155.96,39715745.53388593,1735750000,28,19
41566,155.91,177.48,155.7,172.42,39726103.10146571,1849630000,35,22
41567,171.66,174.91,168.95,174.61,39734651.26775557,2037440000,40,13
41568,174.8,184.82,174.8,182.21,39740880.4535545,2075580000,27,13
41569,182.65,196.27,182.65,193.76,39744246.96626616,2169750000,32,14
41570,193.36,213.62,192.38,213.62,39744853.75628786,2298160000,31,13
41571,214.3,217.42,168.52,198.23,39742478.58553457,2548230000,31,18
41572,197.69,198.87,168.5,186.69,39737169.74455477,2351780000,31,16
41573,187.45,188.41,175.75,177.32,39739146.04736128,2231070000,25,17
41574,176.6,196.44,176.6,196.44,39733936.9467262,2102730000,34,13
41575,196.21,198.62,192.06,198.55,39708811.37772518,2337100000,28,20
41576,198.55,204.79,198.55,204.39,39666675.84726845,2365840000,31,17
41577,204.39,209.16,199.97,199.97,39608803.17088547,2436240000,27,14
41578,199.83,205.18,198.85,204,39537772.8533318,2382870000,39,13
41579,203.9,206.65,202.13,206.18,39470088.86112244,2432470000,35,12
41580,205.81,207.76,201.65,206.22,39404947.93790532,2456330000,33,18
41581,205.99,215.05,203.99,215.05,39342447.57154833,2459520000,31,11
41582,214.66,231.01,213.94,229.1,39316562.0250243,2564070000,40,13
41583,229.21,250.66,226.22,245.24,39337434.22010767,2738980000,24,22
41584,244.78,263,244.78,262.5,39398012.77992702,2926100000,34,14
41585,261.68,304.17,261.55,296.41,39488826.8260271,3129190000,33,13
41586,297.85,338.66,296.93,338.11,39594082.755203,3562790000,35,19
41587,338.58,370.82,319.71,339.11,39685326.56885813,4051120000,46,18
41588,348.82,350.7,277.24,326.62,39775906.8211567,4174930000,36,12
41589,325.41,351.27,311.78,342.44,39860765.43017794,3896130000,27,19
41590,343.06,362.81,342.8,360.33,39945989.31478658,4109060000,37,12
41591,360.97,414.05,359.8,407.37,40007301.77942926,4325400000,28,14
41592,406.41,425.9,395.19,420.2,40053220.89734156,4871600000,34,16
41593,419.41,437.89,396.11,417.95,40075900.92802161,5029340000,32,11
41594,417.28,450.26,415.57,440.22,40096165.87778285,5005530000,43,15
41595,440.96,500.58,440.24,492.11,40093657.23602774,5291730000,40,9
41596,496.58,703.78,494.94,703.5599999999999,40075943.60129856,5961500000,27,11
41597,712.76,806.11,456.39,584.61,40047187.69643912,8559550000,34,11
41598,577.98,599.65,448.45,590.83,39999644.42274152,6943300000,35,18
41599,594.3200000000001,733.4,577.29,722.4299999999999,39933985.21332148,7142030000,38,18
41600,724.0700000000001,780.85,668.13,771.4400000000001,39848608.86032733,8703970000,30,18
41601,771.7,844.97,771.7,797.8200000000001,39763664.24696046,9279850000,27,20
41602,795.63,807.36,722.87,774.25,39668848.29218259,9570990000,34,12
41603,773.02,810.6799999999999,754.4299999999999,799.11,39572595.67418092,9302270000,36,13
41604,805.73,928.54,800.8,928.1,39800411.43436276,9699360000,39,13
41605,923.85,1001.96,891.6799999999999,1001.96,39572454.82703894,11124900000,28,13
41606,1003.38,1077.56,962.17,1031.95,38929918.73869397,12087000000,29,14
41607,1042.01,1146.97,1000.64,1131.97,38360474.40310978,12557100000,32,14
41608,1129.37,1156.14,1106.61,1129.43,37814750.2030126,13614700000,40,25
41609,1128.92,1133.08,801.8200000000001,955.85,37335833.00916845,13614300000,24,12
41610,951.42,1055.42,938.41,1043.33,37371885.10263194,11478300000,45,12
41611,1046.4,1096,1011.21,1078.28,37385579.31817468,12628300000,36,12
41612,1077.58,1156.12,1070.16,1151.17,37404936.21448173,13010000000,28,14
41613,1152.73,1154.36,897.11,1045.11,38514110.08277918,13922300000,24,17
41614,1042.38,1042.38,829.45,829.45,39984472.26769233,12593900000,32,18
41615,835.3200000000001,854.64,640.22,698.23,41275948.13432693,10096600000,35,18
41616,697.3099999999999,802.51,670.88,795.87,42304062.25512921,8431860000,28,16
41617,793.8,921.9299999999999,780.9,893.1900000000001,42857016.55965643,9602480000,27,14
41618,892.3200000000001,997.23,892.3200000000001,988.51,42513884.79216717,10798200000,26,14
41619,989.0700000000001,1001.58,834.23,878.48,42583894.64241195,11973700000,23,9
41620,882.78,901.9400000000001,844.95,873.26,42491382.30983657,10690600000,27,14
41621,874.98,941.79,860.05,892.58,42587929.73765418,10599700000,33,10
41622,899.85,904.65,858.36,872.6,41907988.18335249,10904900000,31,24
41623,875.29,886.16,825,876.12,41476713.55262273,10611600000,32,12
41624,880.33,882.25,668.25,705.97,40778981.87910326,10676600000,32,14
41625,706.37,754.83,630.88,682.12,40724379.32038129,8570390000,35,10
41626,678.2,679.3200000000001,420.51,522.7,40015889.34161936,8232040000,20,20
41627,519.0599999999999,707.23,502.89,691.96,39526820.92469377,6302970000,29,15
41628,694.22,729.16,595.33,625.3200000000001,39155754.64579708,8433870000,31,13
41629,619.9,654.27,579.17,605.66,38525802.93811592,7533740000,37,10
41630,601.78,666.74,585.64,617.1799999999999,37898549.7212998,7315940000,33,11
41631,613.0599999999999,680.91,611.04,673.41,37201941.91750918,7455670000,31,15
41632,672.36,684.39,645.71,665.58,37130381.23258702,8179730000,33,10
41633,666.3099999999999,682.7,649.48,682.21,36729553.69406868,8108930000,30,9
41634,683.9400000000001,777.75,683.9400000000001,761.98,36588764.51612903,8326270000,39,14
41635,763.28,777.51,713.6,735.0700000000001,46862700,9295570000,27,14
41636,737.98,747.0599999999999,705.35,727.83,32505800,8990850000,32,14
